category,Niederschlag (6 bis 6 UTC)
Do 07.05.,0
Fr 08.05.,0
Sa 09.05.,8
So 10.05.,0.5
Mo 11.05.,10.8
Di 12.05.,0
Mi 13.05.,2.1
Do 14.05.,5.1
Fr 15.05.,3
Sa 16.05.,0
So 17.05.,0
Mo 18.05.,0
Di 19.05.,0
Mi 20.05.,0
Do 21.05.,0
Fr 22.05.,0
Sa 23.05.,15.5
So 24.05.,0.2
Mo 25.05.,0.2
Di 26.05.,0
Mi 27.05.,0
Do 28.05.,0.1
Fr 29.05.,0
Sa 30.05.,0
So 31.05.,0
Mo 01.06.,0
Di 02.06.,0
Mi 03.06.,0.1
Do 04.06.,7.2
Fr 05.06.,3.3
Sa 06.06.,14
So 07.06.,26
Mo 08.06.,1.3
Di 09.06.,1.4
Mi 10.06.,11.4
Do 11.06.,1
Fr 12.06.,0
Sa 13.06.,64.6
So 14.06.,15
Mo 15.06.,11
Di 16.06.,1.5
Mi 17.06.,12.6
Do 18.06.,19.3
Fr 19.06.,11.4
Sa 20.06.,3.1
So 21.06.,0
Mo 22.06.,0.7
Di 23.06.,0
Mi 24.06.,0
Do 25.06.,0
Fr 26.06.,3.4
Sa 27.06.,1.9
So 28.06.,26.1
Mo 29.06.,2.4
Di 30.06.,0
Mi 01.07.,2.6
