category,Niederschlag (6 bis 6 UTC)
Do 07.05.,0
Fr 08.05.,0.8
Sa 09.05.,0.7
So 10.05.,0
Mo 11.05.,0
Di 12.05.,0
Mi 13.05.,6.1
Do 14.05.,15.5
Fr 15.05.,21
Sa 16.05.,0.1
So 17.05.,0
Mo 18.05.,3
Di 19.05.,22.6
Mi 20.05.,23.3
Do 21.05.,6.2
Fr 22.05.,0
Sa 23.05.,1.3
So 24.05.,0
Mo 25.05.,19.9
Di 26.05.,4.5
Mi 27.05.,0
Do 28.05.,0
Fr 29.05.,0.3
Sa 30.05.,0
So 31.05.,0
Mo 01.06.,2.5
Di 02.06.,0
Mi 03.06.,0
Do 04.06.,0
Fr 05.06.,0.5
Sa 06.06.,1.3
So 07.06.,2.7
Mo 08.06.,0.1
Di 09.06.,0.2
Mi 10.06.,0
Do 11.06.,0.2
Fr 12.06.,0.4
Sa 13.06.,9.8
So 14.06.,6.6
Mo 15.06.,36.4
Di 16.06.,0.1
Mi 17.06.,0
Do 18.06.,10.2
Fr 19.06.,2.9
Sa 20.06.,24.9
So 21.06.,1.3
Mo 22.06.,24.3
Di 23.06.,0.1
Mi 24.06.,0
Do 25.06.,0
Fr 26.06.,0
Sa 27.06.,4.4
So 28.06.,0
Mo 29.06.,0
Di 30.06.,0
Mi 01.07.,0
