category,Niederschlag (6 bis 6 UTC)
Sa 07.05.,21
So 08.05.,0
Mo 09.05.,0
Di 10.05.,0
Mi 11.05.,0
Do 12.05.,1.4
Fr 13.05.,1.8
Sa 14.05.,0
So 15.05.,0
Mo 16.05.,23.6
Di 17.05.,0
Mi 18.05.,0
Do 19.05.,1
Fr 20.05.,3.2
Sa 21.05.,0
So 22.05.,0
Mo 23.05.,17.9
Di 24.05.,10
Mi 25.05.,0.6
Do 26.05.,0
Fr 27.05.,2.1
Sa 28.05.,0
So 29.05.,2
Mo 30.05.,0
Di 31.05.,0.3
Mi 01.06.,5.1
Do 02.06.,0.7
Fr 03.06.,18
Sa 04.06.,0
So 05.06.,17.8
Mo 06.06.,10.7
Di 07.06.,20.1
Mi 08.06.,10.8
Do 09.06.,3
Fr 10.06.,0
Sa 11.06.,0
So 12.06.,5.4
Mo 13.06.,0.1
Di 14.06.,0
Mi 15.06.,0
Do 16.06.,6.5
Fr 17.06.,0
Sa 18.06.,0
So 19.06.,0
Mo 20.06.,0
Di 21.06.,5.5
Mi 22.06.,0.9
Do 23.06.,18.2
Fr 24.06.,18
Sa 25.06.,0
So 26.06.,0
Mo 27.06.,15.9
Di 28.06.,0.6
Mi 29.06.,0
Do 30.06.,30.9
Fr 01.07.,5.8
