category,Niederschlag (6 bis 6 UTC)
So 07.05.,3.1
Mo 08.05.,22.3
Di 09.05.,0
Mi 10.05.,0
Do 11.05.,0.4
Fr 12.05.,5.9
Sa 13.05.,5.4
So 14.05.,1.3
Mo 15.05.,0.5
Di 16.05.,0
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,12.6
Sa 20.05.,1.4
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0.3
Mi 24.05.,0.4
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,8.9
Mi 31.05.,0
Do 01.06.,7.8
Fr 02.06.,4.8
Sa 03.06.,2.5
So 04.06.,8.4
Mo 05.06.,5.5
Di 06.06.,15.3
Mi 07.06.,1.1
Do 08.06.,0
Fr 09.06.,1.4
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,0
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,31.3
Fr 16.06.,0.2
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,0
Di 20.06.,0.2
Mi 21.06.,0
Do 22.06.,0
Fr 23.06.,0
Sa 24.06.,3.1
So 25.06.,17.2
Mo 26.06.,2.8
Di 27.06.,1
Mi 28.06.,15.7
Do 29.06.,7.9
Fr 30.06.,0.2
Sa 01.07.,0.2
