category,Niederschlag (6 bis 6 UTC)
Fr 07.05.,7.9
Sa 08.05.,0
So 09.05.,0
Mo 10.05.,0
Di 11.05.,16.5
Mi 12.05.,4
Do 13.05.,1.4
Fr 14.05.,0.8
Sa 15.05.,4.8
So 16.05.,11.8
Mo 17.05.,10.2
Di 18.05.,7.5
Mi 19.05.,8.8
Do 20.05.,0.8
Fr 21.05.,8.7
Sa 22.05.,5.6
So 23.05.,1.2
Mo 24.05.,4.3
Di 25.05.,0
Mi 26.05.,12
Do 27.05.,3.3
Fr 28.05.,0
Sa 29.05.,0
So 30.05.,0
Mo 31.05.,0
Di 01.06.,0
Mi 02.06.,0
Do 03.06.,0
Fr 04.06.,5
Sa 05.06.,31.1
So 06.06.,30.8
Mo 07.06.,7.3
Di 08.06.,35.2
Mi 09.06.,0.6
Do 10.06.,0.2
Fr 11.06.,0
Sa 12.06.,0
So 13.06.,0
Mo 14.06.,0
Di 15.06.,0
Mi 16.06.,0
Do 17.06.,0
Fr 18.06.,0
Sa 19.06.,0
So 20.06.,2.2
Mo 21.06.,17.5
Di 22.06.,8.4
Mi 23.06.,1.8
Do 24.06.,3.5
Fr 25.06.,0
Sa 26.06.,0
So 27.06.,0
Mo 28.06.,0.9
Di 29.06.,15.4
Mi 30.06.,9.7
Do 01.07.,1.2
