category,Niederschlag (6 bis 6 UTC)
Sa 07.05.,0
So 08.05.,0
Mo 09.05.,0
Di 10.05.,0
Mi 11.05.,0
Do 12.05.,15.1
Fr 13.05.,11.2
Sa 14.05.,18.7
So 15.05.,0.4
Mo 16.05.,7.5
Di 17.05.,0
Mi 18.05.,4.1
Do 19.05.,10.1
Fr 20.05.,0
Sa 21.05.,0
So 22.05.,0
Mo 23.05.,20.1
Di 24.05.,1.1
Mi 25.05.,0
Do 26.05.,0
Fr 27.05.,5.2
Sa 28.05.,0.2
So 29.05.,45.3
Mo 30.05.,0.4
Di 31.05.,11.7
Mi 01.06.,6.6
Do 02.06.,4.1
Fr 03.06.,11.7
Sa 04.06.,3.3
So 05.06.,6
Mo 06.06.,0
Di 07.06.,2.1
Mi 08.06.,24.9
Do 09.06.,9.7
Fr 10.06.,1.3
Sa 11.06.,6
So 12.06.,1.1
Mo 13.06.,17.6
Di 14.06.,1.1
Mi 15.06.,5.1
Do 16.06.,32.1
Fr 17.06.,0.1
Sa 18.06.,13.1
So 19.06.,14
Mo 20.06.,1.1
Di 21.06.,0.1
Mi 22.06.,0
Do 23.06.,0
Fr 24.06.,2.5
Sa 25.06.,15.5
So 26.06.,4
Mo 27.06.,0
Di 28.06.,0
Mi 29.06.,2.9
Do 30.06.,2
Fr 01.07.,0
