category,Niederschlag (6 bis 6 UTC)
Mo 07.05.,0
Di 08.05.,0
Mi 09.05.,1.7
Do 10.05.,3.8
Fr 11.05.,0
Sa 12.05.,0.5
So 13.05.,26.7
Mo 14.05.,14.7
Di 15.05.,6.3
Mi 16.05.,14
Do 17.05.,0
Fr 18.05.,0
Sa 19.05.,0.2
So 20.05.,3
Mo 21.05.,1.2
Di 22.05.,11.3
Mi 23.05.,1.8
Do 24.05.,4.6
Fr 25.05.,0
Sa 26.05.,0
So 27.05.,0
Mo 28.05.,7
Di 29.05.,0
Mi 30.05.,0.1
Do 31.05.,6.4
Fr 01.06.,0
Sa 02.06.,0
So 03.06.,0
Mo 04.06.,0
Di 05.06.,0
Mi 06.06.,3.6
Do 07.06.,0
Fr 08.06.,4.2
Sa 09.06.,0
So 10.06.,0
Mo 11.06.,8.6
Di 12.06.,29
Mi 13.06.,17
Do 14.06.,0
Fr 15.06.,0
Sa 16.06.,0
So 17.06.,23.7
Mo 18.06.,0
Di 19.06.,0
Mi 20.06.,0
Do 21.06.,0.9
Fr 22.06.,0
Sa 23.06.,0
So 24.06.,2.3
Mo 25.06.,0.4
Di 26.06.,0
Mi 27.06.,0
Do 28.06.,10.2
Fr 29.06.,0
Sa 30.06.,0
So 01.07.,0
