category,Niederschlag (6 bis 6 UTC)
Di 07.05.,0
Mi 08.05.,0.3
Do 09.05.,4.3
Fr 10.05.,0.5
Sa 11.05.,13.5
So 12.05.,10.8
Mo 13.05.,0
Di 14.05.,2.6
Mi 15.05.,0
Do 16.05.,0
Fr 17.05.,0
Sa 18.05.,0
So 19.05.,17.3
Mo 20.05.,59.3
Di 21.05.,27.8
Mi 22.05.,1.8
Do 23.05.,0
Fr 24.05.,0
Sa 25.05.,0.6
So 26.05.,0
Mo 27.05.,20.6
Di 28.05.,18
Mi 29.05.,7.9
Do 30.05.,0
Fr 31.05.,0
Sa 01.06.,0
So 02.06.,0
Mo 03.06.,0.1
Di 04.06.,0
Mi 05.06.,0
Do 06.06.,1.8
Fr 07.06.,0
Sa 08.06.,0
So 09.06.,2.7
Mo 10.06.,23.7
Di 11.06.,0.1
Mi 12.06.,0.2
Do 13.06.,0
Fr 14.06.,0
Sa 15.06.,13.1
So 16.06.,0
Mo 17.06.,0
Di 18.06.,5
Mi 19.06.,3.1
Do 20.06.,4.9
Fr 21.06.,19.5
Sa 22.06.,15.1
So 23.06.,1.1
Mo 24.06.,0
Di 25.06.,0
Mi 26.06.,0
Do 27.06.,0
Fr 28.06.,0
Sa 29.06.,0
So 30.06.,0
Mo 01.07.,18.5
