category,Höchstwert,Tiefstwert,Mittelwert
Di 07.05.,14.4,-1.4,6.2
Mi 08.05.,16,1,9.4
Do 09.05.,15.2,2,9.7
Fr 10.05.,15.2,7.2,10.5
Sa 11.05.,12,5.2,8.9
So 12.05.,6,1.5,4.1
Mo 13.05.,10.3,2.8,6.3
Di 14.05.,10.4,-0.3,5
Mi 15.05.,8.3,1.2,4.8
Do 16.05.,11.7,0.6,6.4
Fr 17.05.,19.3,0.2,9.9
Sa 18.05.,19.6,3.4,11.9
So 19.05.,19.6,6.3,11.9
Mo 20.05.,10.7,9.5,10.2
Di 21.05.,10.2,8.8,9.5
Mi 22.05.,14.7,8.7,10.9
Do 23.05.,19,6.3,12.9
Fr 24.05.,21.7,4.2,13.7
Sa 25.05.,19.2,6.7,13
So 26.05.,19.4,8.9,13.7
Mo 27.05.,17.9,8.6,13.4
Di 28.05.,11.8,7.8,10
Mi 29.05.,13.5,7.7,8.8
Do 30.05.,18.2,4.5,11.5
Fr 31.05.,21.2,9.1,14.3
Sa 01.06.,24.7,6.7,16.7
So 02.06.,27.2,8.8,18.6
Mo 03.06.,28.2,11.5,19.8
Di 04.06.,28.5,12.4,20.4
Mi 05.06.,28.8,11.7,21
Do 06.06.,20,10.2,14
Fr 07.06.,28.3,7.7,18
Sa 08.06.,21.1,8.4,14.7
So 09.06.,24.4,6.5,15
Mo 10.06.,20.9,11.6,15.2
Di 11.06.,18.6,10.2,15.1
Mi 12.06.,17.5,11.7,14.4
Do 13.06.,23.2,10.8,17.2
Fr 14.06.,27.4,9.7,19.3
Sa 15.06.,23.5,12.4,18.3
So 16.06.,19,11.6,15.6
Mo 17.06.,24.7,9.5,17.7
Di 18.06.,27.8,11.7,19.9
Mi 19.06.,28.6,13.8,21.3
Do 20.06.,22,13.3,17
Fr 21.06.,22.3,12.2,16.7
Sa 22.06.,22.1,13.7,15.9
So 23.06.,23.5,14.2,18.1
Mo 24.06.,28.4,12.5,21.2
Di 25.06.,33,14.2,23.8
Mi 26.06.,34.6,15.2,25.5
Do 27.06.,32.1,17.1,25.3
Fr 28.06.,28.3,13.5,21.8
Sa 29.06.,30.2,11.5,21.6
So 30.06.,33,14.1,24.5
Mo 01.07.,30.6,16.8,23.7
