category,Höchstwert,Tiefstwert,Mittelwert
Fr 07.05.,8.8,1.5,5.9
Sa 08.05.,19.2,-0.2,9.8
So 09.05.,27,5.7,17
Mo 10.05.,26.3,9,18.8
Di 11.05.,16.8,5.8,10.8
Mi 12.05.,10.3,6.7,7.8
Do 13.05.,13.8,6.6,8.8
Fr 14.05.,17.5,2.8,10.5
Sa 15.05.,15.7,5.8,9.6
So 16.05.,14.6,4.9,9.2
Mo 17.05.,12.2,6.4,8.4
Di 18.05.,13.1,6.1,8.3
Mi 19.05.,9.9,4.4,6.2
Do 20.05.,13.8,4.6,8.1
Fr 21.05.,14.9,4.9,8.9
Sa 22.05.,16.1,4.6,10.2
So 23.05.,15,4.1,9
Mo 24.05.,17.4,3.9,9.1
Di 25.05.,14.1,4.3,9.3
Mi 26.05.,13.8,3.6,9.8
Do 27.05.,12.7,4.8,8.4
Fr 28.05.,18.1,3.3,11.3
Sa 29.05.,17.6,4.9,11.8
So 30.05.,16.9,2.4,10.6
Mo 31.05.,19.3,1.5,11.6
Di 01.06.,21.8,3.4,13.9
Mi 02.06.,24.6,6,16.4
Do 03.06.,24.3,10.2,18.1
Fr 04.06.,24.2,12.8,17.3
Sa 05.06.,19.5,11.7,14.3
So 06.06.,14.7,11.5,12.9
Mo 07.06.,20.9,11.5,15.3
Di 08.06.,22.9,11.1,15.4
Mi 09.06.,22.3,11.3,15.6
Do 10.06.,24,11,17
Fr 11.06.,24.5,10.5,17.5
Sa 12.06.,25.4,12.4,19.6
So 13.06.,23,10,17.8
Mo 14.06.,25.6,7.4,17.3
Di 15.06.,27.2,9.2,18.9
Mi 16.06.,28.6,11.2,20.2
Do 17.06.,30.7,12.3,22.1
Fr 18.06.,30.8,13.4,23.4
Sa 19.06.,29.9,18,24
So 20.06.,26.7,16.3,21.6
Mo 21.06.,27.4,13.3,20.1
Di 22.06.,22.8,13.9,18.2
Mi 23.06.,24.1,14.6,18.5
Do 24.06.,22.5,11.1,16.7
Fr 25.06.,20.4,12,15.8
Sa 26.06.,24.5,9.5,17.4
So 27.06.,27.7,11.5,19.9
Mo 28.06.,30.1,14.1,22
Di 29.06.,25.1,13.5,17.3
Mi 30.06.,18.5,10.6,13.4
Do 01.07.,15.8,9.9,12.9
