category,Höchstwert,Tiefstwert,Mittelwert
Do 07.05.,20.7,-0.4,10.5
Fr 08.05.,24,5.1,15.6
Sa 09.05.,24.8,9.3,17.3
So 10.05.,22.6,11.3,16
Mo 11.05.,20.9,0.6,10.8
Di 12.05.,10,0.7,4.9
Mi 13.05.,10.7,4.1,7.3
Do 14.05.,8.8,5.8,7.3
Fr 15.05.,9.2,4.7,7.5
Sa 16.05.,16.6,1.4,9.6
So 17.05.,19.8,3.4,12.6
Mo 18.05.,21.9,3.8,13.9
Di 19.05.,22.5,5.5,15.2
Mi 20.05.,20.1,7.7,15.2
Do 21.05.,22.4,6.5,14.9
Fr 22.05.,23.8,9.4,18.2
Sa 23.05.,24.8,6.3,14.1
So 24.05.,17.1,6.2,11.4
Mo 25.05.,17.1,7.2,12
Di 26.05.,17.7,4.7,11.7
Mi 27.05.,19.7,3.3,12.5
Do 28.05.,19,6,12.7
Fr 29.05.,17,4.2,11.3
Sa 30.05.,17.6,4.5,11.3
So 31.05.,17.6,2.9,11.4
Mo 01.06.,22.1,5.2,14.8
Di 02.06.,23.2,5,15.1
Mi 03.06.,24.5,8.1,17.1
Do 04.06.,16.1,10.1,13.5
Fr 05.06.,15.4,9.4,11.6
Sa 06.06.,20,11.2,14.6
So 07.06.,12.1,5.5,9.4
Mo 08.06.,17,5.7,11.6
Di 09.06.,14.3,9.7,11.7
Mi 10.06.,14.7,11.1,12.1
Do 11.06.,18.4,8.3,12.9
Fr 12.06.,26.1,6.4,17.4
Sa 13.06.,24.6,10.5,17.4
So 14.06.,12.9,11.2,12.1
Mo 15.06.,14.4,11.9,12.9
Di 16.06.,16.9,9.4,13.5
Mi 17.06.,20.2,9.6,12.9
Do 18.06.,21,7.7,14.5
Fr 19.06.,15.8,10.6,12.5
Sa 20.06.,18.6,10,13.6
So 21.06.,20.9,10.9,16.4
Mo 22.06.,22.7,11.4,16.7
Di 23.06.,24.7,9.5,17.7
Mi 24.06.,24.7,9.5,17.9
Do 25.06.,23.7,9.9,17.3
Fr 26.06.,25.3,10.6,17.7
Sa 27.06.,27,14.1,19.1
So 28.06.,24.2,12.3,18.5
Mo 29.06.,20.6,13,16.3
Di 30.06.,24.2,10.7,17.9
Mi 01.07.,27.8,13.3,20.3
