category,Höchstwert,Tiefstwert,Mittelwert
Sa 07.05.,14.1,8.6,10.7
So 08.05.,15.9,9,12.2
Mo 09.05.,20.6,7.3,13.9
Di 10.05.,23.1,6.2,15.2
Mi 11.05.,26.3,10.3,18.2
Do 12.05.,25.8,12.9,19.4
Fr 13.05.,20.6,13.3,16.3
Sa 14.05.,22.4,9,16.2
So 15.05.,25.1,7.6,16.9
Mo 16.05.,23.2,12.2,15.9
Di 17.05.,22.5,10.3,16.8
Mi 18.05.,25.3,9.1,18.2
Do 19.05.,28.2,10,19.5
Fr 20.05.,30.9,12.8,22.8
Sa 21.05.,22.3,9.9,17.2
So 22.05.,24.2,7.8,16.2
Mo 23.05.,26.5,10.9,16.8
Di 24.05.,14.4,11.3,12.8
Mi 25.05.,17.8,9.6,12.6
Do 26.05.,21,8.4,14.5
Fr 27.05.,22.3,8.4,15.3
Sa 28.05.,15.7,5.1,11.4
So 29.05.,14.9,3.6,7.7
Mo 30.05.,16.3,2.7,10
Di 31.05.,20.7,5.8,12.8
Mi 01.06.,20.9,10.2,14.4
Do 02.06.,22.4,11.5,16
Fr 03.06.,27.3,10.6,17.4
Sa 04.06.,26.1,10.9,19.2
So 05.06.,24.1,11.6,16.5
Mo 06.06.,21.3,10.4,17
Di 07.06.,18.1,11.9,14.1
Mi 08.06.,22.6,11.4,15
Do 09.06.,15.5,9.2,11.7
Fr 10.06.,19.9,8.4,13.9
Sa 11.06.,24.3,6.8,16.3
So 12.06.,28.3,9.4,19.4
Mo 13.06.,22.6,9.7,16.6
Di 14.06.,24,7.6,16.6
Mi 15.06.,28.3,9.7,19.5
Do 16.06.,25.4,13.9,19.8
Fr 17.06.,25.9,11.1,18.7
Sa 18.06.,31,11,22
So 19.06.,33.5,13.9,24.8
Mo 20.06.,28.4,16.1,22.4
Di 21.06.,29,14.7,21.1
Mi 22.06.,22,15.3,18.9
Do 23.06.,28.2,13.6,20.5
Fr 24.06.,21.7,12.8,16
Sa 25.06.,24.4,11,18.2
So 26.06.,28.2,14.6,22.1
Mo 27.06.,26.5,14.1,19.8
Di 28.06.,19.2,14.3,17
Mi 29.06.,25.2,14.4,18.8
Do 30.06.,27.7,13.3,19.2
Fr 01.07.,18,10.1,14.1
