category,Höchstwert,Tiefstwert,Mittelwert
Mo 07.05.,22.9,4.8,13.9
Di 08.05.,23.4,6,15.1
Mi 09.05.,20.7,5.6,12.5
Do 10.05.,16.6,7.9,11.5
Fr 11.05.,20.6,4.4,13.4
Sa 12.05.,23.7,7.6,16.3
So 13.05.,22,12,15.1
Mo 14.05.,15.7,9.3,11.5
Di 15.05.,15.2,7.8,9.4
Mi 16.05.,10.4,8.2,9.3
Do 17.05.,14.4,8.5,11.1
Fr 18.05.,19.1,6.6,12.6
Sa 19.05.,18.7,4.7,11.2
So 20.05.,16.6,8.2,12
Mo 21.05.,21.7,6.9,14.6
Di 22.05.,21.9,9.9,15.2
Mi 23.05.,21.3,10.5,16
Do 24.05.,19.9,10.9,15.1
Fr 25.05.,23.8,10.3,17.4
Sa 26.05.,26.4,9.7,18.3
So 27.05.,25.2,11.8,18.8
Mo 28.05.,27.3,11.8,18.1
Di 29.05.,24.3,11.7,18.1
Mi 30.05.,25.7,11.9,19.6
Do 31.05.,25.4,12.5,17.8
Fr 01.06.,22.1,13.2,17.2
Sa 02.06.,23.5,11.8,17.6
So 03.06.,25.7,10.7,18.7
Mo 04.06.,26.6,11.3,18.8
Di 05.06.,26.9,12.2,19.2
Mi 06.06.,24.7,11.5,18.2
Do 07.06.,22.6,14.1,18.2
Fr 08.06.,24.5,11.7,16.9
Sa 09.06.,25.5,13,19.6
So 10.06.,27.3,14.4,20.8
Mo 11.06.,27.9,13.6,19.7
Di 12.06.,21.1,13.6,16.1
Mi 13.06.,14.2,9.9,11.5
Do 14.06.,18.2,8.7,13.5
Fr 15.06.,21.8,7.4,14.8
Sa 16.06.,23.9,7.2,16.5
So 17.06.,21.3,11.5,16.2
Mo 18.06.,21.7,12.9,16.8
Di 19.06.,24.8,11.2,18
Mi 20.06.,27.3,11.3,20
Do 21.06.,26.5,13,20.2
Fr 22.06.,16,7.6,12.3
Sa 23.06.,18.7,5.4,12.8
So 24.06.,19.5,11,14.9
Mo 25.06.,18.8,10.8,13.5
Di 26.06.,21.6,8.2,15.5
Mi 27.06.,22.3,8.8,15.7
Do 28.06.,17.1,7.8,13.2
Fr 29.06.,22.4,12.7,16.4
Sa 30.06.,26.7,11.1,19.7
So 01.07.,24,11,17.8
