category,Höchstwert,Tiefstwert,Mittelwert
So 07.05.,10.5,7.4,8.9
Mo 08.05.,9.2,5.5,7.9
Di 09.05.,9.6,0.5,5.9
Mi 10.05.,19.4,-0.9,9.1
Do 11.05.,23.6,2.4,13.6
Fr 12.05.,20.8,10.5,14.1
Sa 13.05.,21.4,10.1,14.9
So 14.05.,20.4,9.3,13.1
Mo 15.05.,18.4,7,12.4
Di 16.05.,22.1,4.9,14.3
Mi 17.05.,25.5,6.8,16.8
Do 18.05.,24.5,11.7,18.2
Fr 19.05.,18,3.4,11.6
Sa 20.05.,14.4,2.2,9.4
So 21.05.,17.9,4.1,12
Mo 22.05.,23,5.2,14.7
Di 23.05.,23.6,9.6,17.1
Mi 24.05.,19.8,12.7,15.8
Do 25.05.,20.2,8,14.9
Fr 26.05.,23.5,5.9,15.6
Sa 27.05.,26.7,7,17.7
So 28.05.,28.9,10.9,20.4
Mo 29.05.,29.4,12.3,21.5
Di 30.05.,27.5,17,21.7
Mi 31.05.,24.3,14.7,19.4
Do 01.06.,23.1,13.5,17.8
Fr 02.06.,22.7,12.9,17.4
Sa 03.06.,26.3,12.3,19.5
So 04.06.,19,11.5,15.1
Mo 05.06.,18.2,10.9,13.5
Di 06.06.,14.9,7.7,11.5
Mi 07.06.,15.8,6.3,10.9
Do 08.06.,22.8,4.3,13.9
Fr 09.06.,21.4,6.2,15.5
Sa 10.06.,22.7,10.8,16.9
So 11.06.,28.4,9.2,19.9
Mo 12.06.,26.6,15.8,21.5
Di 13.06.,26.1,13,19.4
Mi 14.06.,25.5,11.7,18.3
Do 15.06.,28,12,20.2
Fr 16.06.,22.2,14.8,18.2
Sa 17.06.,21.7,11.4,16.4
So 18.06.,23.2,11.8,17.8
Mo 19.06.,28.3,9.8,20.1
Di 20.06.,30.1,16.1,23.4
Mi 21.06.,30.6,16.7,23.1
Do 22.06.,31,15.9,24.2
Fr 23.06.,29.8,17.8,24.9
Sa 24.06.,24.7,15,20.2
So 25.06.,22.4,14.6,17.8
Mo 26.06.,28.4,13.1,21.4
Di 27.06.,26.6,15.6,20.5
Mi 28.06.,22.8,13.6,18.3
Do 29.06.,21.7,11.4,14.5
Fr 30.06.,20.6,10.9,15.1
Sa 01.07.,19.7,12,15.3
