category,Höchstwert,Tiefstwert,Mittelwert
Do 07.05.,18,5.9,11.9
Fr 08.05.,22.9,6.3,14.8
Sa 09.05.,17.2,10.8,13.7
So 10.05.,19.5,6.2,13.9
Mo 11.05.,24.8,5,15.2
Di 12.05.,26.9,9.1,19.1
Mi 13.05.,24.7,13.1,18.9
Do 14.05.,19.4,11.6,15.2
Fr 15.05.,12.8,7.9,9.2
Sa 16.05.,18.4,7.9,12.1
So 17.05.,18.9,7.5,13.3
Mo 18.05.,22.8,5.2,15.2
Di 19.05.,15.4,8.2,11.7
Mi 20.05.,8.6,4.7,6.8
Do 21.05.,8.8,4.1,6
Fr 22.05.,12.3,5.7,8.4
Sa 23.05.,13.5,6.6,9.5
So 24.05.,16.3,7.1,11.3
Mo 25.05.,19.1,8.2,11.6
Di 26.05.,11.5,7,9.2
Mi 27.05.,14.3,3.3,8.7
Do 28.05.,20.5,2.5,12.1
Fr 29.05.,22.6,7.7,16
Sa 30.05.,19.4,10.8,14.8
So 31.05.,20.7,8,15
Mo 01.06.,23.7,11.3,17.2
Di 02.06.,24.6,11.9,18.1
Mi 03.06.,26.8,12.7,20
Do 04.06.,27.2,10.7,19.7
Fr 05.06.,29.7,13.2,22.1
Sa 06.06.,29.3,14.9,22.2
So 07.06.,26.9,13.4,20.7
Mo 08.06.,20.6,11.3,15.3
Di 09.06.,13.6,10.9,11.7
Mi 10.06.,17.3,10.9,14.1
Do 11.06.,24.2,12.5,18.4
Fr 12.06.,28.8,11.7,19.6
Sa 13.06.,24.8,12.8,18.7
So 14.06.,23.5,12.9,17
Mo 15.06.,15.4,12.8,14.3
Di 16.06.,20.1,9.3,15.2
Mi 17.06.,19.2,9.3,13.5
Do 18.06.,15.9,10,13.2
Fr 19.06.,17.4,11,13
Sa 20.06.,13.2,7.5,9.7
So 21.06.,16.1,8.7,12.1
Mo 22.06.,20.9,10.2,15.4
Di 23.06.,15.6,9.7,12
Mi 24.06.,19.6,7.7,13.7
Do 25.06.,22.8,6.8,15
Fr 26.06.,24.5,8.5,17.6
Sa 27.06.,21.6,12.3,16.3
So 28.06.,23.1,10.9,17.5
Mo 29.06.,25.6,11.3,18.6
Di 30.06.,28.2,12.4,20.5
Mi 01.07.,29.9,12.1,21.9
