category,Höchstwert,Tiefstwert,Mittelwert
Sa 07.05.,22,6.2,14.8
So 08.05.,22.4,4.4,14
Mo 09.05.,22.5,4.5,14.3
Di 10.05.,21.1,8,14.4
Mi 11.05.,21.6,6.4,14.3
Do 12.05.,12.8,7.8,9.7
Fr 13.05.,12.8,7.8,9.8
Sa 14.05.,13.4,5.6,9.3
So 15.05.,8.8,3.7,6.1
Mo 16.05.,8.5,2.5,5.3
Di 17.05.,13.8,3.9,8.3
Mi 18.05.,18.9,4.7,12
Do 19.05.,11,6.5,8.1
Fr 20.05.,17.7,6.5,11.5
Sa 21.05.,23.8,5.9,14.9
So 22.05.,28.5,8.2,18.8
Mo 23.05.,14,4.8,7.5
Di 24.05.,10.9,5.2,7.9
Mi 25.05.,20.2,5.2,12.9
Do 26.05.,24.1,10.2,17.3
Fr 27.05.,25.5,10.2,18.3
Sa 28.05.,22.8,11.8,17.5
So 29.05.,21.8,11.9,15.5
Mo 30.05.,18.8,10.1,13.8
Di 31.05.,16.9,8.8,13.2
Mi 01.06.,19.8,10.8,13.7
Do 02.06.,18.6,11,13.8
Fr 03.06.,19.2,11.5,13.5
Sa 04.06.,19.5,11.6,14.7
So 05.06.,19,11.1,14.3
Mo 06.06.,24,8.7,16.5
Di 07.06.,24,10,16.9
Mi 08.06.,19.4,13.3,15.1
Do 09.06.,16.3,8.7,13.2
Fr 10.06.,22.2,7.2,15.1
Sa 11.06.,18.2,11.9,14.2
So 12.06.,18.3,12,14.5
Mo 13.06.,17.5,10.9,13.3
Di 14.06.,18.2,10.2,13.1
Mi 15.06.,18,9.4,13.4
Do 16.06.,17.5,9.6,12.9
Fr 17.06.,18.9,6.9,12.3
Sa 18.06.,18.9,10.7,13.7
So 19.06.,15.2,10.2,11.8
Mo 20.06.,21,10.7,15.3
Di 21.06.,20.8,12.6,16.2
Mi 22.06.,28.7,15,21.5
Do 23.06.,31.4,12.3,22.4
Fr 24.06.,31.2,14.7,23.1
Sa 25.06.,26.1,14.6,18.5
So 26.06.,15,12.8,13.7
Mo 27.06.,20.7,11.7,15.9
Di 28.06.,25.3,12,18.7
Mi 29.06.,24.2,13.3,18.8
Do 30.06.,22.1,14.5,17.8
Fr 01.07.,26.1,12.8,19.7
